months_as_customer;age;policy_state;policy_csl;policy_deductable;policy_annual_premium;umbrella_limit;insured_sex;insured_education_level;insured_occupation;insured_hobbies;insured_relationship;capital-gains;capital-loss;incident_type;collision_type;incident_severity;authorities_contacted;incident_state;incident_city;incident_hour_of_the_day;number_of_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_available;total_claim_amount;injury_claim;property_claim;vehicle_claim;auto_make;auto_model;auto_year;fraud_reported
282;48;0.258;0.216;2000;1422.56;7000000.0;0.234;0.264;0.212;0.2;0.205;26900;-55300;0.085;0.089;0.107;0.066;0.179;0.242;7;1;0.24;1;2;0.255;3520;640;320.0;2560;0.19;0.222;2;0
359;47;0.258;0.257;2000;1367.68;0.0;0.234;0.264;0.204;0.176;0.24;0;0;0.29;0.276;0.128;0.209;0.294;0.289;13;1;0.24;0;3;0.255;55500;5550;11100.0;38850;0.338;0.38;3;0
254;40;0.254;0.257;500;1927.87;0.0;0.26;0.264;0.212;0.3;0.205;0;0;0.29;0.276;0.107;0.269;0.227;0.289;10;1;0.258;0;1;0.255;43280;0;5410.0;37870;0.255;0.363;19;1
253;43;0.227;0.216;500;1187.01;7000000.0;0.234;0.234;0.282;0.193;0.24;46300;-33000;0.085;0.089;0.066;0.209;0.221;0.221;9;1;0.24;0;1;0.255;3840;640;640.0;2560;0.276;0.375;1;0
134;36;0.258;0.262;1000;1497.41;0.0;0.26;0.264;0.237;0.093;0.205;14100;-44500;0.27;0.254;0.107;0.291;0.179;0.221;17;3;0.24;2;0;0.229;77200;9650;9650.0;57900;0.305;0.25;19;0
350;54;0.258;0.216;500;1495.1;0.0;0.26;0.262;0.169;0.176;0.27;50500;0;0.27;0.254;0.128;0.209;0.294;0.234;15;3;0.24;0;0;0.255;93480;15580;7790.0;70110;0.276;0.1;1;0
51;34;0.258;0.216;500;1430.8;0.0;0.26;0.264;0.237;0.091;0.24;0;0;0.29;0.254;0.605;0.269;0.221;0.242;23;1;0.24;2;3;0.255;64200;6420;19260.0;38520;0.255;0.363;8;1
320;48;0.227;0.262;2000;1730.49;7000000.0;0.26;0.262;0.291;0.23;0.258;46300;-41700;0.27;0.276;0.107;0.269;0.179;0.221;13;3;0.24;2;0;0.255;56160;4680;9360.0;42120;0.225;0.185;20;0
289;45;0.258;0.262;2000;1221.41;0.0;0.234;0.224;0.302;0.163;0.27;46700;-72500;0.085;0.089;0.066;0.209;0.179;0.224;9;1;0.24;2;1;0.255;2700;300;300.0;2100;0.255;0.231;9;0
183;38;0.227;0.262;500;1543.68;0.0;0.234;0.224;0.212;0.228;0.258;20200;0;0.29;0.254;0.605;0.209;0.309;0.248;17;1;0.24;0;1;0.229;51920;9440;4720.0;37760;0.304;0.27;14;1
303;50;0.258;0.257;500;793.15;0.0;0.26;0.264;0.282;0.29;0.21;54600;-45500;0.27;0.276;0.128;0.318;0.179;0.248;17;3;0.24;0;3;0.255;81960;13660;13660.0;54640;0.25;0.162;7;0
267;46;0.258;0.262;2000;1111.17;0.0;0.26;0.264;0.297;0.265;0.24;35000;0;0.095;0.089;0.066;0.066;0.179;0.289;3;1;0.258;2;3;0.229;4950;900;450.0;3600;0.186;0.143;20;0
121;31;0.227;0.216;1000;1061.98;6000000.0;0.234;0.261;0.246;0.091;0.24;0;0;0.29;0.312;0.107;0.209;0.179;0.248;16;1;0.24;0;1;0.229;65250;7250;7250.0;50750;0.277;0.05;13;0
120;34;0.254;0.216;1000;1056.71;0.0;0.234;0.261;0.222;0.228;0.258;77900;0;0.095;0.089;0.107;0.066;0.227;0.261;3;1;0.24;2;1;0.255;3770;580;580.0;2610;0.164;0.24;13;0
381;55;0.258;0.216;500;1459.99;0.0;0.234;0.264;0.169;0.826;0.27;35900;0;0.29;0.312;0.605;0.269;0.294;0.221;8;1;0.258;1;2;0.229;60600;12120;6060.0;42420;0.19;0.2;4;0
256;41;0.227;0.262;2000;1415.74;6000000.0;0.234;0.264;0.246;0.29;0.24;48900;-62400;0.29;0.276;0.605;0.209;0.436;0.289;5;1;0.24;1;2;0.255;63400;6340;6340.0;50720;0.276;0.375;1;1
344;51;0.227;0.257;1000;959.83;0.0;0.234;0.224;0.276;0.228;0.258;0;-38700;0.27;0.254;0.605;0.269;0.221;0.234;18;3;0.24;2;2;0.229;75400;17400;11600.0;46400;0.277;0.437;9;1
458;62;0.227;0.216;2000;1356.92;5000000.0;0.26;0.234;0.204;0.265;0.27;0;0;0.29;0.312;0.605;0.318;0.221;0.289;2;1;0.24;0;1;0.229;46980;5220;5220.0;36540;0.304;0.344;17;0
1;33;0.227;0.262;500;903.32;0.0;0.234;0.225;0.291;0.3;0.258;0;0;0.27;0.312;0.107;0.209;0.221;0.234;1;3;0.24;1;0;0.255;31700;6340;3170.0;22190;0.186;0.273;9;0
322;44;0.227;0.257;1000;1156.19;0.0;0.234;0.262;0.237;0.74;0.205;49900;-62700;0.27;0.254;0.605;0.269;0.221;0.221;20;3;0.258;0;3;0.255;49400;9880;4940.0;34580;0.164;0.119;5;0
225;43;0.258;0.257;1000;1517.54;0.0;0.26;0.261;0.169;0.091;0.21;0;-20900;0.27;0.312;0.605;0.209;0.294;0.261;16;3;0.24;2;0;0.229;64400;6440;6440.0;51520;0.277;0.304;4;0
107;31;0.254;0.262;500;1239.22;7000000.0;0.234;0.225;0.282;0.228;0.258;43400;-91200;0.29;0.254;0.107;0.269;0.294;0.242;12;1;0.258;0;1;0.255;89700;13800;13800.0;62100;0.304;0.344;6;1
27;27;0.254;0.257;2000;1118.76;0.0;0.234;0.262;0.169;0.116;0.21;0;-55800;0.29;0.276;0.128;0.269;0.221;0.221;23;1;0.24;1;3;0.255;61560;6840;6840.0;47880;0.305;0.285;7;0
91;26;0.227;0.262;1000;1022.46;0.0;0.234;0.234;0.246;0.2;0.293;52700;0;0.27;0.276;0.107;0.318;0.294;0.289;15;3;0.24;0;2;0.255;74200;7420;7420.0;59360;0.164;0.119;19;0
66;30;0.254;0.216;500;523.9039651157786;0.0;0.234;0.262;0.169;0.228;0.27;21100;-60800;0.27;0.276;0.605;0.269;0.294;0.289;2;3;0.24;0;2;0.229;65560;11920;11920.0;41720;0.279;0.273;0;1
117;28;0.258;0.262;500;1264.77;0.0;0.234;0.234;0.291;0.3;0.24;47500;-32500;0.27;0.312;0.128;0.269;0.294;0.242;13;2;0.258;0;1;0.255;55440;5040;10080.0;40320;0.238;0.285;6;1
298;47;0.227;0.216;2000;1338.5;0.0;0.234;0.264;0.237;0.176;0.293;28800;0;0.29;0.276;0.605;0.269;0.221;0.221;1;1;0.24;0;0;0.255;70590;10860;10860.0;48870;0.225;0.2;15;1
310;48;0.258;0.257;1000;845.16;0.0;0.234;0.224;0.169;0.265;0.293;0;0;0.29;0.276;0.605;0.209;0.309;0.234;21;1;0.258;1;0;0.255;55170;6130;6130.0;42910;0.304;0.344;10;1
438;57;0.258;0.216;500;1119.29;0.0;0.234;0.264;0.237;0.826;0.205;0;0;0.29;0.254;0.107;0.209;0.294;0.248;14;1;0.24;0;0;0.255;40700;4070;4070.0;32560;0.279;0.273;15;1
285;44;0.258;0.262;2000;1144.3;0.0;0.26;0.264;0.169;0.265;0.258;52600;0;0.085;0.089;0.107;0.209;0.179;0.221;3;1;0.258;1;0;0.255;5500;500;500.0;4500;0.255;0.363;5;0
2;20;0.254;0.216;1000;1189.98;4000000.0;0.234;0.225;0.297;0.109;0.293;0;-54700;0.29;0.254;0.107;0.318;0.179;0.261;22;1;0.24;1;3;0.229;48360;4030;8060.0;36270;0.304;0.344;15;0
398;55;0.258;0.262;500;862.19;0.0;0.26;0.225;0.169;0.163;0.24;69400;0;0.085;0.089;0.066;0.209;0.294;0.234;7;1;0.24;2;3;0.255;6600;600;1200.0;4800;0.19;0.222;3;0
78;31;0.258;0.262;1000;1377.23;0.0;0.234;0.224;0.246;0.093;0.24;72600;0;0.27;0.254;0.107;0.318;0.221;0.248;1;3;0.24;2;1;0.255;52290;5810;11620.0;34860;0.179;0.29;18;0
435;58;0.254;0.257;2000;1145.85;0.0;0.26;0.261;0.276;0.163;0.258;0;-40000;0.27;0.312;0.128;0.318;0.221;0.261;19;3;0.24;1;1;0.229;41490;9220;4610.0;27660;0.338;0.259;11;0
195;36;0.254;0.257;2000;1346.18;0.0;0.234;0.234;0.237;0.091;0.27;57800;-53300;0.27;0.276;0.128;0.269;0.294;0.248;14;3;0.258;2;3;0.229;68970;12540;6270.0;50160;0.276;0.375;8;0
95;28;0.258;0.262;1000;773.99;0.0;0.26;0.234;0.246;0.29;0.293;0;-70300;0.085;0.089;0.066;0.066;0.266;0.242;3;1;0.258;1;2;0.255;3200;640;320.0;2240;0.338;0.259;1;0
104;32;0.254;0.262;500;1158.03;0.0;0.26;0.225;0.368;0.093;0.21;31900;-44600;0.27;0.312;0.128;0.209;0.221;0.224;23;3;0.258;1;3;0.229;63570;9780;9780.0;44010;0.279;0.285;9;1
313;50;0.258;0.257;2000;1255.62;0.0;0.26;0.264;0.246;0.276;0.24;0;0;0.27;0.254;0.605;0.318;0.436;0.221;18;3;0.258;2;1;0.229;69000;13800;6900.0;48300;0.305;0.37;20;1
230;39;0.227;0.257;1000;904.7;7000000.0;0.234;0.264;0.297;0.161;0.24;68600;-22300;0.29;0.276;0.605;0.269;0.294;0.224;0;1;0.24;1;3;0.255;74200;14840;14840.0;44520;0.19;0.2;13;1
123;28;0.227;0.257;2000;1836.02;0.0;0.26;0.224;0.291;0.163;0.21;38000;-41200;0.29;0.254;0.605;0.291;0.309;0.224;5;1;0.24;2;1;0.229;79800;13300;6650.0;59850;0.279;0.273;4;1
145;34;0.254;0.257;1000;1142.48;0.0;0.234;0.261;0.169;0.195;0.293;0;0;0.29;0.254;0.128;0.291;0.309;0.234;18;1;0.258;2;0;0.255;52250;9500;4750.0;38000;0.238;0.156;3;0
120;35;0.258;0.257;1000;1425.54;0.0;0.234;0.225;0.291;0.161;0.293;78300;0;0.27;0.276;0.128;0.291;0.294;0.224;22;3;0.24;2;0;0.255;51210;11380;5690.0;34140;0.305;0.285;5;0
250;43;0.227;0.216;2000;1539.06;0.0;0.26;0.224;0.276;0.193;0.293;37800;0;0.29;0.276;0.107;0.269;0.294;0.248;2;1;0.24;0;3;0.255;64200;10700;10700.0;42800;0.305;0.37;13;0
160;33;0.227;0.216;1000;1422.78;0.0;0.234;0.225;0.368;0.193;0.205;61600;0;0.27;0.276;0.128;0.291;0.309;0.224;17;3;0.24;2;3;0.229;52800;5280;5280.0;42240;0.179;0.129;9;0
335;48;0.227;0.216;2000;1017.97;0.0;0.234;0.264;0.237;0.826;0.27;59900;-34800;0.27;0.276;0.128;0.209;0.179;0.261;21;3;0.24;0;0;0.229;35860;3260;6520.0;26080;0.277;0.304;10;1
276;47;0.254;0.257;1000;1724.09;0.0;0.26;0.264;0.297;0.3;0.21;0;0;0.27;0.312;0.107;0.209;0.221;0.289;23;3;0.258;0;0;0.255;65780;5980;11960.0;47840;0.276;0.375;1;0
114;30;0.227;0.257;1000;1558.29;0.0;0.26;0.225;0.302;0.2;0.27;51400;-64000;0.27;0.276;0.605;0.291;0.221;0.248;1;3;0.24;1;2;0.255;77110;14020;14020.0;49070;0.238;0.3;0;0
78;29;0.227;0.262;1000;1234.2;6000000.0;0.26;0.224;0.169;0.161;0.293;0;0;0.085;0.089;0.107;0.209;0.221;0.221;3;1;0.258;2;2;0.255;7500;750;1500.0;5250;0.179;0.29;13;0
92;32;0.227;0.216;500;1592.41;0.0;0.26;0.224;0.212;0.3;0.205;58900;-29100;0.29;0.312;0.128;0.291;0.179;0.261;22;1;0.24;2;3;0.229;53400;5340;5340.0;42720;0.164;0.119;19;0
214;40;0.258;0.257;1000;1648.0;0.0;0.26;0.261;0.291;0.265;0.258;57700;-43500;0.29;0.312;0.128;0.318;0.179;0.221;17;1;0.24;1;0;0.229;44220;8040;4020.0;32160;0.19;0.222;15;0
85;31;0.227;0.262;2000;1234.69;7993219.794354623;0.234;0.264;0.282;0.228;0.205;0;0;0.27;0.276;0.605;0.318;0.179;0.289;1;2;0.24;2;1;0.255;74400;14880;7440.0;52080;0.277;0.33;12;1
130;34;0.258;0.257;500;990.11;0.0;0.26;0.224;0.276;0.093;0.293;0;-41200;0.095;0.089;0.066;0.066;0.221;0.224;8;1;0.24;1;3;0.229;5830;1060;1060.0;3710;0.25;0.325;0;0
75;27;0.258;0.257;1000;1141.1;0.0;0.26;0.261;0.246;0.163;0.293;0;0;0.27;0.254;0.107;0.209;0.294;0.248;15;2;0.24;0;1;0.229;71640;5970;11940.0;53730;0.186;0.273;7;0
114;30;0.258;0.262;1000;1173.25;0.0;0.234;0.224;0.222;0.116;0.205;0;-34700;0.085;0.089;0.107;0.066;0.179;0.289;3;1;0.24;0;3;0.229;4680;520;520.0;3640;0.276;0.1;2;0
83;24;0.254;0.216;1000;1070.63;0.0;0.234;0.225;0.237;0.29;0.24;0;0;0.27;0.276;0.128;0.269;0.221;0.289;0;3;0.24;0;1;0.255;61600;6160;12320.0;43120;0.255;0.15;12;0
41;26;0.227;0.257;1000;1383.13;0.0;0.234;0.261;0.212;0.193;0.21;46700;0;0.085;0.089;0.066;0.209;0.294;0.224;12;1;0.258;1;1;0.255;6890;530;1060.0;5300;0.164;0.24;18;0
437;58;0.254;0.216;2000;1192.04;0.0;0.26;0.234;0.297;0.116;0.21;66100;-31400;0.29;0.276;0.128;0.291;0.294;0.221;23;1;0.258;0;0;0.255;55800;11160;11160.0;33480;0.25;0.325;11;0
142;30;0.254;0.262;2000;1616.58;0.0;0.26;0.261;0.169;0.276;0.205;58500;-46800;0.27;0.312;0.605;0.318;0.294;0.248;13;3;0.258;0;3;0.229;63600;6360;12720.0;44520;0.25;0.325;5;0
425;53;0.258;0.262;2000;912.29;0.0;0.234;0.225;0.169;0.228;0.205;42900;-39100;0.27;0.276;0.107;0.269;0.179;0.234;17;3;0.24;1;2;0.255;97080;16180;16180.0;64720;0.225;0.285;10;0
236;38;0.258;0.262;1000;802.24;0.0;0.234;0.262;0.169;0.228;0.258;0;-62500;0.29;0.254;0.605;0.291;0.179;0.221;16;1;0.24;0;1;0.255;66840;16710;5570.0;44560;0.338;0.259;1;0
137;35;0.254;0.262;500;1667.83;0.0;0.26;0.261;0.212;0.228;0.205;48500;-67400;0.095;0.089;0.107;0.209;0.179;0.221;4;1;0.258;1;1;0.255;6600;1200;1200.0;4200;0.164;0.24;10;0
317;46;0.254;0.262;1000;1012.78;0.0;0.26;0.264;0.276;0.3;0.293;43700;0;0.29;0.276;0.605;0.269;0.179;0.289;18;1;0.24;2;1;0.255;104610;19020;19020.0;66570;0.338;0.4;16;1
350;50;0.258;0.216;500;889.13;0.0;0.234;0.224;0.169;0.29;0.293;0;0;0.27;0.312;0.128;0.209;0.266;0.234;14;3;0.24;0;2;0.255;44190;9820;4910.0;29460;0.304;0.27;0;0
156;38;0.227;0.257;500;1367.99;0.0;0.26;0.225;0.246;0.29;0.21;26500;0;0.27;0.276;0.605;0.269;0.179;0.234;23;3;0.24;0;3;0.255;55200;11040;5520.0;38640;0.225;0.285;17;1
285;44;0.227;0.216;1000;1594.45;0.0;0.26;0.225;0.204;0.161;0.205;0;0;0.27;0.254;0.128;0.269;0.309;0.261;17;2;0.258;2;3;0.255;55680;6960;6960.0;41760;0.225;0.185;9;0
127;31;0.258;0.216;500;1255.02;0.0;0.26;0.234;0.276;0.266;0.258;58200;0;0.095;0.089;0.107;0.066;0.294;0.224;10;1;0.258;1;0;0.255;6160;560;1120.0;4480;0.179;0.13;19;0
194;34;0.227;0.257;500;1429.96;0.0;0.234;0.261;0.222;0.29;0.205;67800;0;0.27;0.312;0.107;0.291;0.221;0.234;11;3;0.24;1;2;0.229;57200;11440;5720.0;40040;0.186;0.143;10;0
219;40;0.258;0.257;500;1134.91;0.0;0.234;0.234;0.291;0.109;0.258;68700;0;0.085;0.089;0.066;0.066;0.294;0.224;6;1;0.24;1;0;0.255;6400;640;640.0;5120;0.186;0.143;18;0
152;33;0.254;0.262;500;942.51;0.0;0.234;0.264;0.291;0.193;0.27;0;0;0.29;0.254;0.605;0.269;0.294;0.248;16;1;0.258;0;0;0.255;70400;6400;19200.0;44800;0.238;0.156;14;1
237;43;0.258;0.262;500;911.53;0.0;0.234;0.264;0.276;0.176;0.205;53200;0;0.29;0.312;0.605;0.209;0.179;0.221;23;1;0.24;0;1;0.255;59200;0;11840.0;47360;0.276;0.1;17;0
152;33;0.258;0.257;1000;840.81;0.0;0.234;0.225;0.302;0.826;0.205;0;0;0.29;0.312;0.107;0.291;0.221;0.289;2;1;0.258;0;2;0.255;82610;7510;7510.0;67590;0.305;0.25;13;1
150;31;0.254;0.216;1000;1354.5;0.0;0.26;0.224;0.237;0.265;0.205;52800;0;0.27;0.276;0.605;0.291;0.221;0.289;6;3;0.24;0;3;0.229;64800;6480;12960.0;45360;0.238;0.285;15;1
373;55;0.254;0.262;500;1607.36;0.0;0.26;0.264;0.276;0.3;0.21;0;0;0.27;0.312;0.605;0.318;0.294;0.289;21;4;0.24;0;2;0.255;60600;6060;12120.0;42420;0.25;0.325;8;1
121;34;0.254;0.216;500;1285.42;0.0;0.26;0.264;0.169;0.2;0.27;0;0;0.29;0.276;0.605;0.269;0.227;0.221;11;1;0.24;1;1;0.255;67300;6730;6730.0;53840;0.25;0.325;15;1
175;34;0.258;0.257;500;915.29;0.0;0.234;0.261;0.204;0.265;0.27;82400;-57100;0.29;0.276;0.605;0.318;0.221;0.289;14;1;0.24;2;1;0.229;36720;4080;4080.0;28560;0.255;0.231;6;1
94;32;0.254;0.216;1000;1414.74;0.0;0.234;0.224;0.169;0.23;0.21;0;0;0.095;0.089;0.107;0.066;0.227;0.224;19;1;0.24;1;3;0.255;2400;300;300.0;1800;0.276;0.409;1;0
174;33;0.254;0.262;2000;1124.43;0.0;0.234;0.262;0.302;0.228;0.21;0;0;0.27;0.312;0.128;0.291;0.179;0.221;14;3;0.258;0;1;0.229;44200;8840;4420.0;30940;0.225;0.2;20;0
325;47;0.254;0.216;1000;1690.27;0.0;0.234;0.234;0.222;0.23;0.258;61500;0;0.29;0.254;0.605;0.269;0.227;0.242;11;1;0.258;0;3;0.255;72930;6630;6630.0;59670;0.25;0.325;9;1
97;26;0.258;0.262;1000;1270.55;0.0;0.26;0.224;0.222;0.826;0.24;0;-72100;0.27;0.254;0.128;0.318;0.309;0.224;10;3;0.258;2;3;0.255;84920;7720;15440.0;61760;0.164;0.119;9;1
103;26;0.227;0.257;500;1354.83;0.0;0.26;0.264;0.282;0.195;0.205;66300;0;0.27;0.276;0.107;0.209;0.221;0.289;14;2;0.24;2;2;0.255;40600;4060;4060.0;32480;0.279;0.273;5;0
347;51;0.258;0.216;500;1480.79;7993219.794354623;0.234;0.264;0.169;0.29;0.24;0;-12100;0.29;0.254;0.128;0.318;0.309;0.248;15;1;0.258;0;2;0.255;103560;8630;17260.0;77670;0.164;0.119;18;0
447;61;0.258;0.257;2000;1137.16;0.0;0.234;0.225;0.368;0.224;0.293;0;-51000;0.27;0.276;0.605;0.269;0.294;0.242;21;3;0.258;1;2;0.229;114920;17680;17680.0;79560;0.304;0.27;9;0
380;56;0.258;0.257;1000;1570.86;0.0;0.26;0.264;0.302;0.74;0.293;66000;0;0.29;0.254;0.128;0.209;0.227;0.234;10;1;0.24;0;1;0.229;58160;7270;7270.0;43620;0.225;0.185;19;1
38;28;0.258;0.262;1000;1019.44;0.0;0.26;0.224;0.291;0.3;0.258;0;-39700;0.085;0.089;0.066;0.066;0.309;0.242;17;1;0.24;2;1;0.255;7200;1440;720.0;5040;0.277;0.304;11;0
168;39;0.227;0.216;1000;1389.59;0.0;0.234;0.224;0.237;0.193;0.21;0;-42600;0.27;0.312;0.605;0.269;0.221;0.234;23;3;0.258;1;3;0.255;41580;3780;7560.0;30240;0.276;0.1;0;1
215;35;0.227;0.216;1000;1125.4;0.0;0.26;0.224;0.169;0.3;0.205;40000;-43400;0.085;0.089;0.066;0.066;0.179;0.261;6;1;0.24;2;1;0.255;2640;220;440.0;1980;0.164;0.119;14;0
371;52;0.227;0.262;1000;1242.96;7000000.0;0.234;0.225;0.169;0.228;0.21;0;-37100;0.27;0.312;0.107;0.318;0.221;0.224;2;2;0.258;2;0;0.255;88920;6840;13680.0;68400;0.19;0.083;5;0
91;31;0.254;0.257;1000;1338.4;4000000.0;0.234;0.225;0.169;0.276;0.21;63600;0;0.29;0.254;0.107;0.209;0.309;0.248;19;1;0.24;1;0;0.255;60570;6730;6730.0;47110;0.179;0.29;4;0
272;41;0.258;0.216;2000;1608.34;0.0;0.234;0.234;0.302;0.266;0.21;33300;-10600;0.29;0.254;0.605;0.318;0.221;0.242;19;1;0.24;1;1;0.255;71060;6460;12920.0;51680;0.225;0.285;5;0
238;43;0.258;0.262;1000;1524.45;4000000.0;0.26;0.225;0.204;0.826;0.27;0;-44800;0.27;0.312;0.128;0.291;0.309;0.248;21;4;0.24;0;0;0.255;42700;4270;4270.0;34160;0.225;0.285;20;1
124;28;0.258;0.262;1000;1235.14;0.0;0.26;0.264;0.368;0.091;0.205;0;-32100;0.27;0.254;0.128;0.318;0.436;0.248;20;3;0.24;0;1;0.255;60200;6020;6020.0;48160;0.279;0.273;3;0
265;45;0.258;0.262;500;972.5;0.0;0.234;0.262;0.368;0.74;0.24;0;0;0.085;0.089;0.066;0.066;0.309;0.242;3;1;0.24;2;3;0.255;3190;290;580.0;2320;0.305;0.25;20;0
